band_ID,band_Name,genre_ID,album_ID
1,Echoing Shadows,8,1
2,Crimson Horizon,5,2
3,Sonic Serenity,5,3
4,Eternal Eclipse,8,4
5,Melodic Reverie,4,5
6,Azure Melancholy,9,6
7,Rhythmic Mirage,1,7
8,Velvet Echo,3,8
9,Sapphire Symphony,6,9
10,Celestial Cadence,1,10
11,Whispering Breeze,5,11
12,Mystic Harmony,6,12
13,Emerald Enigma,7,13
14,Astral Pulse,3,14
15,Infinite Melody,2,15
16,Golden Serenade,3,16
17,Lunar Lullaby,4,17
18,Timeless Echoes,5,18
19,Silver Silhouette,9,19
20,Enchanted Dreamscape,1,20
21,Radiant Resonance,9,2
22,Harmonic Odyssey,10,3
23,Dreamweaver Ensemble,3,4
24,Vivid Vortex,5,5
25,Stellar Synchronicity,6,6
26,Nebula Nexus,7,7
27,Cerulean Serendipity,9,8
28,Ephemeral Echo,10,9
29,Twilight Melodies,5,10
30,Serene Soundscapes,6,11
31,Aurora Anthem,9,12
32,Crimson Crescendo,1,13
33,Whispers of Destiny,2,14
34,Nocturnal Nova,3,15
35,Luminous Lull,7,16
36,Enigmatic Echoes,5,17
37,Celestial Crescendo,8,18
38,Eternal Euphony,6,19
39,Velvet Vortex,6,20
40,Sapphire Soliloquy,1,2
41,Galactic Groove,3,3
42,Tranquil Tempo,3,4
43,Polaris Polyphony,9,5
44,Cerulean Celesta,4,6
45,Astral Aria,10,7
46,Mystic Melisma,5,8
47,Enchanted Elegy,6,9
